Timestamp,Frame,TrackID,Class,Confidence,X1,Y1,X2,Y2,Width,Height,Area,Center_X,Center_Y,Speed (px/sec),NumberPlate
2025-09-26 12:13:45,293,5,car,0.85,406,199,640,360,234,161,37674,523,279,15.66,Skipped
2025-09-26 12:13:45,294,4,car,0.85,634,153,640,335,6,182,1092,637,244,39.77,Skipped
2025-09-26 12:13:45,294,5,car,0.85,405,203,640,360,235,157,36895,522,281,28.12,Skipped
2025-09-26 12:13:45,295,4,car,0.85,640,154,640,337,0,183,0,640,245,49.66,Skipped
2025-09-26 12:13:45,295,5,car,0.85,405,206,640,360,235,154,36190,522,283,31.41,Skipped
2025-09-26 12:13:45,296,4,car,0.85,646,154,640,338,-6,184,-1104,643,246,49.08,Skipped
2025-09-26 12:13:45,296,5,car,0.85,404,209,640,360,236,151,35636,522,284,15.52,Skipped
2025-09-26 12:13:45,297,4,car,0.85,652,155,640,339,-12,184,-2208,646,247,50.01,Skipped
2025-09-26 12:13:45,297,5,car,0.85,404,213,640,360,236,147,34692,522,286,31.63,Skipped
2025-09-26 12:13:45,298,4,car,0.85,658,156,640,341,-18,185,-3330,649,248,49.5,Skipped
2025-09-26 12:13:45,298,5,car,0.85,403,216,640,360,237,144,34128,521,288,35.0,Skipped
2025-09-26 12:13:45,299,4,car,0.85,664,157,640,342,-24,185,-4440,652,249,49.47,Skipped
2025-09-26 12:13:45,299,5,car,0.85,403,219,640,360,237,141,33417,521,289,15.64,Skipped
2025-09-26 12:13:45,300,4,car,0.85,670,157,640,343,-30,186,-5580,655,250,39.33,Skipped
2025-09-26 12:13:45,300,5,car,0.85,402,223,640,360,238,137,32606,521,291,24.88,N/A
2025-09-26 12:13:48,338,16,car,0.85,42,152,135,339,93,187,17391,88,245,0,Skipped
2025-09-26 12:13:48,339,16,car,0.85,34,155,132,351,98,196,19208,83,253,118.3,Skipped
2025-09-26 12:13:48,340,16,car,0.85,28,162,128,360,100,198,19800,78,261,121.43,N/A
2025-09-26 12:13:48,341,16,car,0.85,26,165,126,360,100,195,19500,76,262,18.88,Skipped
2025-09-26 12:13:48,342,16,car,0.85,27,164,128,360,101,196,19796,77,262,14.23,Skipped
2025-09-26 12:13:48,342,18,car,0.85,139,142,370,326,231,184,42504,254,234,0,Skipped
2025-09-26 12:13:48,343,16,car,0.85,26,165,128,360,102,195,19890,77,262,0.0,Skipped
2025-09-26 12:13:48,343,18,car,0.85,132,143,364,329,232,186,43152,248,236,45.91,Skipped
2025-09-26 12:13:48,344,16,car,0.85,7,166,107,360,100,194,19400,57,263,257.62,Skipped
2025-09-26 12:13:48,344,18,car,0.85,127,145,361,332,234,187,43758,244,238,57.53,Skipped
2025-09-26 12:13:48,345,16,car,0.85,0,164,92,360,92,196,18032,46,262,126.65,Skipped
2025-09-26 12:13:48,345,18,car,0.85,122,147,358,335,236,188,44368,240,241,57.33,Skipped
2025-09-26 12:13:48,346,16,car,0.85,0,156,81,357,81,201,16281,40,256,43.38,Skipped
2025-09-26 12:13:48,346,18,car,0.85,88,140,309,320,221,180,39780,198,230,221.97,Skipped
2025-09-26 12:13:48,347,16,car,0.85,0,157,75,360,75,203,15225,37,258,37.47,Skipped
2025-09-26 12:13:48,347,18,car,0.85,77,140,298,320,221,180,39780,187,230,114.3,Skipped
2025-09-26 12:13:48,347,21,bus,0.85,206,128,471,304,265,176,46640,338,216,0,Skipped
2025-09-26 12:13:49,348,16,car,0.85,0,158,69,360,69,202,13938,34,259,23.17,Skipped
2025-09-26 12:13:49,348,18,car,0.85,66,141,287,320,221,179,39559,176,230,80.58,Skipped
2025-09-26 12:13:49,348,21,bus,0.85,206,127,471,303,265,176,46640,338,215,7.33,Skipped
2025-09-26 12:13:49,349,16,car,0.85,0,158,63,360,63,202,12726,31,259,21.43,Skipped
2025-09-26 12:13:49,349,18,car,0.85,56,141,275,319,219,178,38982,165,230,78.57,Skipped
2025-09-26 12:13:49,349,21,bus,0.85,205,125,471,302,266,177,47082,338,213,14.29,Skipped
2025-09-26 12:13:49,350,16,car,0.85,0,159,58,360,58,201,11658,29,259,30.45,N/A
2025-09-26 12:13:49,350,18,car,0.85,45,141,264,319,219,178,38982,154,230,167.48,N/A
2025-09-26 12:13:49,350,21,bus,0.85,205,123,471,301,266,178,47348,338,212,15.23,N/A
2025-09-26 12:13:49,351,16,car,0.85,0,159,52,360,52,201,10452,26,259,16.96,Skipped
2025-09-26 12:13:49,351,18,car,0.85,34,141,253,319,219,178,38982,143,230,62.2,Skipped
2025-09-26 12:13:49,351,21,car,0.85,163,150,434,333,271,183,49593,298,241,279.37,Skipped
2025-09-26 12:13:49,352,16,car,0.85,0,160,46,360,46,200,9200,23,260,38.02,Skipped
2025-09-26 12:13:49,352,18,car,0.85,24,141,242,318,218,177,38586,133,229,120.84,Skipped
2025-09-26 12:13:49,352,21,car,0.85,155,154,428,338,273,184,50232,291,246,103.43,Skipped
2025-09-26 12:13:49,353,16,car,0.85,0,160,40,360,40,200,8000,20,260,50.7,Skipped
2025-09-26 12:13:49,353,18,car,0.85,13,141,230,318,217,177,38409,121,229,202.78,Skipped
2025-09-26 12:13:49,353,21,car,0.85,146,157,422,342,276,185,51060,284,249,128.69,Skipped
2025-09-26 12:13:49,354,16,car,0.85,0,161,34,360,34,199,6766,17,260,35.18,Skipped
2025-09-26 12:13:49,354,18,car,0.85,2,141,219,317,217,176,38192,110,229,128.98,Skipped
2025-09-26 12:13:49,354,21,car,0.85,138,161,415,347,277,186,51522,276,254,110.62,Skipped
2025-09-26 12:13:49,355,16,car,0.85,0,162,28,360,28,198,5544,14,261,39.69,Skipped
2025-09-26 12:13:49,355,18,car,0.85,0,141,208,317,208,176,36608,104,229,75.31,Skipped
2025-09-26 12:13:49,355,21,car,0.85,130,164,409,352,279,188,52452,269,258,101.2,Skipped
2025-09-26 12:13:49,356,16,car,0.85,0,162,22,360,22,198,4356,11,261,58.71,Skipped
2025-09-26 12:13:49,356,18,car,0.85,0,142,196,317,196,175,34300,98,229,117.43,Skipped
2025-09-26 12:13:49,356,21,car,0.85,122,167,403,357,281,190,53390,262,262,157.79,Skipped
2025-09-26 12:13:49,357,16,car,0.85,0,163,16,360,16,197,3152,8,261,53.8,Skipped
2025-09-26 12:13:49,357,18,car,0.85,0,142,185,316,185,174,32190,92,229,107.59,Skipped
2025-09-26 12:13:49,357,21,car,0.85,114,171,397,360,283,189,53487,255,265,136.57,Skipped
2025-09-26 12:13:49,358,16,car,0.85,0,163,10,360,10,197,1970,5,261,54.91,Skipped
2025-09-26 12:13:49,358,18,car,0.85,0,142,174,316,174,174,30276,87,229,91.52,Skipped
2025-09-26 12:13:49,358,21,car,0.85,106,174,391,360,285,186,53010,248,267,133.25,Skipped
2025-09-26 12:13:50,359,16,car,0.85,0,164,4,360,4,196,784,2,262,56.64,Skipped
